,Lat,Population,Lon,Voivodeship
11693780,53.78291666670969,1.180802206183977,22.436805555573503,warmińsko-mazurskie
1173095,51.28180555559658,0.9856136003732464,17.836250000014264,wielkopolskie
67276,54.12263888893219,1.1076697235594557,17.53041666668069,pomorskie
11826804,53.69097222226517,1.1898411919062468,21.15763888890581,warmińsko-mazurskie
433533,53.11791666670916,1.2198001968427827,19.114027777793073,kujawsko-pomorskie
5526715,52.112638888930576,2.3044187091918285,16.178750000012947,wielkopolskie
7654145,50.33125000004026,1.5925416458083297,20.009305555571558,małopolskie
14444504,51.82347222226368,1.4132283016961114,16.656527777791098,wielkopolskie
2313182,50.906805555596286,1.0814776250715088,23.214305555574125,lubelskie
1674802,50.2384722222624,0.7914023659502609,22.944305555573912,podkarpackie
427222,51.99847222226382,3.330266198530744,22.777361111129327,lubelskie
2554171,52.08597222226389,2.3044187091918285,16.117361111124005,wielkopolskie
322408,54.374583333376826,6.153110355682678,18.611250000014888,pomorskie
12978340,49.76902777781759,2.344786373766401,18.783750000015022,śląskie
1074399,53.888194444487546,1.6052875373155324,20.677916666683206,warmińsko-mazurskie
10165936,51.04097222226305,1.6160993631588385,20.83763888890556,świętokrzyskie
9604659,52.20430555559732,5.022941980272238,22.248472222240018,mazowieckie
8774951,49.786527777817604,12.251023825680498,20.1098611111272,małopolskie
1944988,54.39597222226573,1.2177286823005689,16.34708333334641,zachodniopomorskie
11138147,49.33291666670613,0.7941913546691037,22.44736111112907,podkarpackie
16944234,54.5326388889325,5.334324610491613,17.732361111125297,pomorskie
15304946,50.01486111115111,1.563900123501495,20.538472222238653,małopolskie
3463127,50.36041666670695,0.8760472838908878,21.136527777794687,świętokrzyskie
15470229,52.286250000041825,4.947969292673133,21.135416666683575,mazowieckie
3255468,53.14069444448696,6.008862214565089,16.73597222223561,wielkopolskie
17174000,51.14652777781869,0.9969192359090652,22.145138888906608,lubelskie
13441504,53.3762500000427,2.6310726073351938,20.494027777794173,warmińsko-mazurskie
9382879,54.500416666710265,7.2276714099667325,18.445138888903642,pomorskie
4918220,52.07180555559721,1.7992645787411932,23.637638888907798,lubelskie
13380997,51.73847222226361,0.916692191722511,23.235138888907475,lubelskie
269002,50.12930555559566,6.663834568906472,18.988472222237405,śląskie
10229571,52.03847222226385,0.8280213173895689,19.90513888890481,łódzkie
5649543,50.1590277778179,2.4354591649839317,23.11541666668516,podkarpackie
4045770,53.520972222265044,2.193672967445762,19.087083333348602,kujawsko-pomorskie
4983411,51.19375000004095,0.8552092855988028,19.858750000015885,łódzkie
10571402,52.235972222264,1.578194373476321,18.90458333334845,wielkopolskie
3887948,50.570972222262675,3.4682892340473512,21.66402777779511,podkarpackie
7985625,50.64013888892939,1.1038775646090986,21.321250000017056,świętokrzyskie
5091032,54.4770833333769,1.1995004056945602,17.029861111124735,pomorskie
3556088,51.75180555559695,1.044147038919661,17.71486111112528,wielkopolskie
14980095,54.33013888893235,1.2926378752132135,19.163750000015327,pomorskie
5669811,54.345694444487926,6.153110355682678,18.640416666681574,pomorskie
281811,50.042083333373355,6.3711838233075575,22.03986111112874,podkarpackie
11113531,50.9204166667074,1.1832749254559063,20.432083333349677,świętokrzyskie
14249408,52.55208333337537,1.023236474055942,19.899305555571477,mazowieckie
7611614,53.46791666670944,1.0067205313324654,22.020694444462062,podlaskie
2394155,49.815138888928736,1.2219387399811383,20.505138888905293,małopolskie
14352610,51.7309722222636,0.9897882005170596,18.425694444459182,łódzkie
5590165,50.47013888892926,1.2976459843390884,18.19180555557011,opolskie
13223803,50.757916666707274,1.300330246918188,22.485138888906874,lubelskie
2384399,52.08736111115278,1.2221483825718196,18.81291666668172,wielkopolskie
209377,51.2198611111521,2.1186907736029754,18.484027777792566,łódzkie
91861,51.58736111115238,0.6883865057279813,19.35541666668215,łódzkie
2809889,51.09375000004086,0.8435621090626989,23.824861111130172,lubelskie
12140150,52.26708333337515,0.8556570600247431,22.32125000001785,mazowieckie
1284725,52.441250000041954,6.736881041209358,16.910972222235753,wielkopolskie
10430923,52.97291666670904,1.9131457292771936,16.662916666679994,wielkopolskie
4718935,51.50263888893009,1.1169824930010186,19.74097222223801,łódzkie
6907161,53.64486111115402,1.342270539993487,19.845972222238103,warmińsko-mazurskie
5212217,50.13569444448455,1.4264093234294686,20.89041666668338,małopolskie
4027569,52.760694444486646,2.818862012244105,23.170972222240763,podlaskie
1375804,51.14152777781869,10.406698816510572,16.85541666668015,dolnośląskie
2962035,51.92986111115266,1.3010478580849842,16.568750000013253,wielkopolskie
1921682,54.539861111154735,1.1233555428184927,16.539583333346563,zachodniopomorskie
13729946,51.93069444448599,0.8260668450904526,18.510972222237033,wielkopolskie
8034482,50.09986111115119,1.1583486759853996,21.958194444462013,podkarpackie
3623177,50.971250000040776,2.0728735309660986,18.217638888903465,opolskie
12900345,51.3093055555966,1.020682110769323,21.241250000016997,mazowieckie
8052498,52.112638888930576,1.0255824667332294,14.914027777789707,lubuskie
11890606,49.68208333337308,1.1554299816621474,21.003194444461247,małopolskie
10406476,51.938472222263776,1.039423113225659,21.080694444461308,mazowieckie
2076519,51.37902777781888,1.0476767481924023,20.97458333335011,mazowieckie
4168868,49.53097222226185,2.141127462520213,20.537361111127538,małopolskie
14555642,49.979027777817755,1.4709058032677786,22.409305555573482,podkarpackie
4569882,52.31013888893074,1.9593255654101325,15.643194444456956,lubuskie
10170041,52.71375000004217,1.18572093720979,19.682638888904634,mazowieckie
8896242,51.62375000004129,1.1217252196523404,20.589027777794247,mazowieckie
16273527,51.809027777819225,1.2838597540195849,22.50430555557356,lubelskie
9373786,50.745138888929475,1.131119400154458,18.671527777792715,śląskie
4041191,53.626250000042894,2.113829746558193,21.823194444461897,warmińsko-mazurskie
10441924,52.48319444448643,1.3588219607797059,18.337916666681334,wielkopolskie
10611237,52.521250000042016,0.9184854954488084,23.3901388889076,podlaskie
8169866,51.025694444485254,1.4512559952135808,21.215694444461416,świętokrzyskie
6233637,49.89347222226213,1.5305281792276653,20.991805555572352,małopolskie
2463480,51.75652777781917,1.2100855087902782,17.136805555569264,wielkopolskie
12477686,49.84180555559543,1.5183090660175609,21.734027777795163,podkarpackie
16660579,51.22791666670765,2.1186907736029754,18.597361111125988,łódzkie
10750941,51.252361111152105,4.7081676751461865,15.568472222234677,dolnośląskie
5708354,54.20013888893224,2.1884124582823445,21.760416666684076,warmińsko-mazurskie
9794988,51.270416666707675,1.8646560940418049,16.346527777790858,dolnośląskie
8632230,52.89819444448676,1.338473204601248,17.10680555556924,wielkopolskie
2313038,51.8281944444859,1.0028366463785179,20.74652777779437,mazowieckie
9857317,52.75541666670887,0.8062746510508271,22.645138888907,podlaskie
13465556,50.806527777818424,0.7556555712919133,19.87069444446034,świętokrzyskie
16170489,52.97041666670904,2.107082807426966,22.90347222224055,podlaskie
3224614,51.403472222263346,0.8607297318159107,19.271250000015414,łódzkie
8751041,49.676805555595294,1.9594856277281352,18.897083333348448,śląskie
1142659,51.80847222226367,1.1668481542904197,22.049305555573195,lubelskie
150866,50.82819444448511,3.829591272089812,19.10430555557084,śląskie
2693356,52.28763888893072,1.1555662898060977,20.208472222238385,mazowieckie
6866772,51.9015277778193,0.9084343397720832,17.964305555569926,wielkopolskie
12419583,50.743472222262824,1.2728474828138268,22.155694444462167,podkarpackie
16927251,50.764027777818384,1.131119400154458,18.67097222223716,śląskie
12228503,53.14708333337585,6.000148542957121,17.955138888903253,kujawsko-pomorskie
16429841,50.0354166667067,6.561939880819574,20.0593055555716,małopolskie
11329801,52.766805555597756,0.8062746510508271,22.544861111129144,podlaskie
16213988,53.11069444448693,6.000148542957121,18.05430555557,kujawsko-pomorskie
